"Name of Satellite, Alternate Names",Country/Org of UN Registry,Country of Operator/Owner,Operator/Owner,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Longitude of GEO (degrees),Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Expected Lifetime,Contractor,Country of Contractor,Launch Site,Launch Vehicle,COSPAR Number,NORAD Number,Launch Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo FOC FM2 (Galileo 6),NR (1/15),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,,0,13810,25918,2.31E-01,49.77,705.11,733,660,,12 yrs.,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2014-050B,40129,2014-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo FOC FM3 (Galileo 7),NR (8/15),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,,0,23516,23574,9.69E-04,55,858.55,723,,,12 yrs.,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017A,40544,/015-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo FOC FM4 (Galileo 8),NR (8/15),ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,,0,23353,23382,4.88E-04,55.1,850.5,723,,,12 yrs.,"OHB-System GmbH, SSTL ",Germany/UK,Guiana Space Center,Soyuz-ST,2015-017B,40545,2015-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo IOV-1 FM2,NR,ESA,European Space Agency,Commerical,Navigation/Global Positioning,,MEO,,0,23242,23307,1.1E-03,54.67,846.98,700,,1420,12 yrs.,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060B,37847,2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo IOV-1 PFM,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,,0,23240,23306,1.11E-03,54.68,846.88,700,,1420,12 yrs.,Astrium/Thales Alenia Space,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2011-060A,37846,2011-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo IOV-2 FM3,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,,0,23214,23233,3.21E-04,55.34,844.76,700,,1420,12 yrs.,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055A,38857,2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galileo IOV-2 FM4,NR,ESA,European Space Agency,Commercial,Navigation/Global Positioning,,MEO,,0,23217,23227,1.69E-04,55.3,844.69,700,,1420,12 yrs.,EADS Astrium,Germany/UK/Italy,Guiana Space Center,Soyuz-Fregat,2012-055B,38858,2012-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaofen 1,China,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Optical Imaging,LEO,,0,630,654,1.71E-03,98.07,97.56,1000,,,5-8 yrs.,Shanghai Academy of Space Flight Technology,China,Jiuquan Satellite Launch Center,Long March 2D,2013-018A,39150,2013-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaofen 2,NR (1/15),China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Optical Imaging,LEO,,0,620,636,1.14E-03,98.02,97.06,1000,,,5-8 yrs.,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2014-049A,40118,2014-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaofen 8,NR,China,Shanghai Academy of Spaceflight Technology (SAST),Government,Earth Observation,Optical Imaging,LEO,,0,484,492,5.83E-04,97.3,94.36,1000,,,5-8 yrs.,Shanghai Academy of Space Flight Technology,China,Taiyuan Launch Center,Long March 4B,2015-030A,40701,2015-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garpun-1 (Cosmos 2473),Russia,Russia,Ministry of Defense,Military,Communications,,GEO,,79.9,35782,35790,9.49E-05,0.09,1436.1,5000,,,,   ISS Reshetnev,Russia,Baikonur Cosmodrome,Proton M,2011-048A,37806,2011-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garuda-1 (Aces 1),Indonesia,Indonesia/Philippines/Thailand,Asia Cellular Satellite,Commercial,Communications,,GEO,,123.03,35774,35801,3.2E-04,1.22,1436.16,4291,2500,14000,12 yrs.,Lockheed Martin Missiles and Space,USA,Baikonur Cosmodrome,Proton,2000-011A,26089,2000-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GATOSS (Global Air Traffic Awareness and Optimizing through Spaceborne Surveillance),NR,Denmark,GomSpace ApS,Commercial,Technology Development,,LEO,Sun-Synchronous,0,593,819,1.6E-02,97.7,98.9,5,,,,GomSpace/University of Aalborg,Denmark,Dombarovsky Air Base,Dnepr,2013-066Q,39430,2013-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEARRSAT-1 (Globalstar Experiment And Risk Reduction Satellite),NR,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,,LEO,Sun-Synchronous,0,395,404,6.65E-04,51.6,92.55,10,,,,NearSpace Launch/Air Force Research Laboratory,USA,International Space Station,Nanorack Deployer,1998-067FZ,40456,2015-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEARRSAT-2 (Globalstar Experiment And Risk Reduction Satellite),NR,USA,NearSpace Launch/Air Force Research Laboratory,Government,Technology Development,,LEO,,0,356,700,2.49E-02,55,95,10,,,,NearSpace Launch/Air Force Research Laboratory,USA,Cape Canaveral,Atlas 5,2015-025G,40657,2015-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis-1,USA,USA,Bigelow Aerospace,Commercial,Technology Development,,LEO,,0,522,569,3.4E-03,64.5,95.6,1360,,,5 yrs.,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2006-029A,29252,2006-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesis-2,USA,USA,Bigelow Aerospace,Commercial,Technology Development,,LEO,,0,508,586,5.64E-03,64.5,95.6,1360,,,5 yrs.,Bigelow Aerospace,USA,Dombarovsky Air Base,Dnepr,2007-028A,31789,2007-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoEye-1 (Orbview 5),USA,USA,DigitalGlobal Corporation,Commercial/Government,Earth Observation,Optical Imaging,LEO,Sun-Synchronous,0,671,686,1.06E-03,98.1,98.3,1955,,,7+ yrs.,General Dynamics,USA,Vandenberg AFB,Delta 2,2008-042A,33331,2008-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geotail (Geomagnetic Tail Laboratory),Japan,Multinational,Institute of Space and Astronautical Science (ISAS)/NASA/ESA,Government,Space Science,,Elliptical,Deep Highly Eccentric,0,49551,191451,5.59E-01,9.39,2474.83,980,,273,,NASA/Goddard Space Flight Center,USA,Cape Canaveral,Delta 2,1992-044A,22049,1992-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global Change Observation Mission - 1 Water (GCOM-1, Shikuzu)",Japan,USA/Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,Earth Science,LEO,Sun-Synchronous,0,701,704,2.12E-04,98.2,98.8,1900,,4.05,5 yrs.,Japan Aerospace Exploration Agency (JAXA),Japan,Tanegashima Space Center,H-II2,2012-025A,38337,2012-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M004 (Globalstar 4),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1407,1412,3.21E-04,52,114,450,350,1500,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-008B,25163,1998-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M006 (Globalstar 6),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1413,1415,1.28E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1998-023B,25307,1998-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M023 (Globalstar 9),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1406,1422,1.03E-03,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004A,25621,1999-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M026 (Globalstar 28),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1412,1416,2.57E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041A,25872,1999-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M027 (Globalstar 34),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-043B,25884,1999-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M028 (Globalstar 26),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,1999-041B,25873,1999-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M029 (Globalstar 47),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,900,1413,3.41E-02,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062C,25963,1999-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M031 (Globalstar 44),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1477,1478,6.37E-05,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058D,25946,1999-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M037 (Globalstar 16),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1411,1417,3.85E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-012D,25652,1999-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M039 (Globalstar 45),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1411,1416,3.21E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-062A,25961,1999-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M040 (Globalstar 10),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1415,1416,6.42E-05,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-004B,25622,1999-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M056 (Globalstar 43),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058C,25945,1999-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M059 (Globalstar 42),USA,USA,Globalstar ,Commercial,Communications,,LEO,Intermediate,0,1413,1415,1.28E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Baikonur Cosmodrome,Soyuz U,1999-058B,25944,1999-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M063 (Globalstar 49),USA,USA,Globalstar  ,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral,USA,Cape Canaveral,Delta 7420,2000-008A,26081,2000-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M065 (Globalstar 65),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1411,1416,3.21E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020A,31571,2007-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M066 (Globalstar 66),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048C,32265,2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M067 (Globalstar 67),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1413,1414,6.42E-05,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048A,32263,2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M068 (Globalstar 68),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1411,1414,1.93E-04,52,114,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048D,32266,2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M069 (Globalstar 69),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1411,1416,3.21E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat ,2007-020C,31573,2007-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M070 (Globalstar 70),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-048B,32264,2007-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M071 (Globalstar 71),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1415,1.93E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020F,31576,2007-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Globalstar M072 (Globalstar 72),USA,USA,Globalstar,Commercial,Communications,,LEO,Intermediate,0,1412,1416,2.57E-04,52,114.1,450,350,1500,10 yrs.,Space Systems/Loral/Alenia Aerospazio,USA/Italy,Baikonur Cosmodrome,Soyuz-Fregat,2007-020D,31574,2007-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
